x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89620.7259762,43166.0921037,0.0,0.9882208226544354,0.0,0.0,-0.15303465513468156,20.0
89621.6900019,43165.7861919,0.0,0.9728054416394659,0.0,0.0,-0.23162377407477774,20.0
89622.5640551,43165.3449558,0.0,0.9548744948661027,0.0,0.0,-0.2970095942123844,20.0
89623.3865677,43164.7784707,0.0,0.9361237930117706,0.0,0.0,-0.3516706472784666,20.0
89624.1489724,43164.1115277,0.0,0.9174142255519786,0.0,0.0,-0.3979335858593282,20.0
89624.8368922,43163.3764489,0.0,0.8996020687384237,0.0,0.0,-0.43671056538804776,20.0
89625.4571148,43162.5886154,0.0,0.8832172139343346,0.0,0.0,-0.46896412763672213,20.0
89626.0141423,43161.7648319,0.0,0.8682540432724413,0.0,0.0,-0.49611986086132215,20.0
89626.5243768,43160.8990664,0.0,0.8548615264008438,0.0,0.0,-0.5188562138778137,20.0
89626.9891247,43160.0058708,0.0,0.8439440787002453,0.0,0.0,-0.5364311624307392,20.0
89627.4087333,43159.1108327,0.0,0.8361680269163513,0.0,0.0,-0.5484733637678462,20.0
89627.8023228,43158.2045713,0.0,0.8301973240733899,0.0,0.0,-0.5574696432106262,20.0
89628.1797373,43157.281497,0.0,0.8242418187837427,0.0,0.0,-0.5662379571947361,20.0
89628.5366812,43156.3527601,0.0,0.8184689563859461,0.0,0.0,-0.5745507527037975,20.0
89628.8746593,43155.4172517,0.0,0.8135532771693893,0.0,0.0,-0.58149038272954,20.0
89629.1967751,43154.4758455,0.0,0.8100631944813593,0.0,0.0,-0.5863425798512807,20.0
89629.5097953,43153.524025,0.0,0.8079608529745467,0.0,0.0,-0.5892361666264581,20.0
89629.8167273,43152.56772,0.0,0.8071941037011778,0.0,0.0,-0.590286099234983,20.0
89630.1206283,43151.6123284,0.0,0.8077208394116229,0.0,0.0,-0.5895651326021437,20.0
89630.4245681,43150.6626889,0.0,0.8095670311639522,0.0,0.0,-0.587027445740303,20.0
